day,subscriber_ecid,subscriber_gender,subscriber_age,registration_province,months_of_subscription,most_used_province,is_usage_nonzero,subscriber_total_expenses,nonpackage_voice_expenses,package_voice_noncash_expenses,is_voice_expenses_nonzero,is_voice_usage_nonzero,call_in_network_duration,call_off_netwrok_duration,nonpackage_call_in_network_expenses,nonpackage_call_off_network_expenses,total_call_duration,#inter_operator_calls,xyz_score,hxr_score,data_cash_expenses,nonpackage_data_expenses,package_data_noncash_expenses,subscriber_data_expenses,subscriber_nondata_expenses,data_usage_volume,is_data_expenses_nonzero,is_data_usage_nonzero,#activated_monthly_data_packages,#activated_short_term_data_packages,#activated_type_one_data_packages,#activated_type_two_data_packages,#activated_type_three_data_packages
(n)01,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.1323725586581486,-0.0728022014436023,0.0,1,1,-0.1556264964086193,0.0,-0.2564542289043541,0.0,-0.2207967589466576,0.0,0.0312194930396296,38.19286234814127,0.0,0.0,0.0,0.0,-0.1046874454694395,0.0722577438358647,0,1,0,0,0,0,0
(n)02,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.1224446370337134,-0.0604395944260022,0.0,1,1,-0.1428571428571428,0.0,0.0361447574505696,0.0,-0.2106684672518568,0.0,0.0334912181051698,38.14423196564464,0.0,0.0,0.0,0.0,-0.09286108393682,0.0495633960735849,0,1,0,0,0,0,0
(n)03,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.3430655343390846,0.5192305046220443,0.0,1,1,0.4181963288108539,0.0,0.7624784605957419,0.0,0.2646860229574611,0.0,0.0368314238264643,37.99037710274313,0.0,0.0,0.0,0.0,0.4616650084344626,-0.0139766307813943,0,0,0,0,0,0,0
(n)04,-06FoayTOXJ8-,1,36.0,8,188,8,1,1.8697629992941285,2.420329396010534,0.0,1,1,2.2593774940143656,0.0,3.144578555278961,0.0,1.8217420661715056,0.0,0.0399420611709495,37.77739779386908,0.0,0.0,0.0,0.0,2.280301058809138,0.0004025377369682,0,1,0,0,0,0,0
(n)05,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.2338581937210379,-0.199175784120375,0.0,1,1,-0.2777334397446129,0.0,-0.1376933801150054,0.0,-0.324105334233626,0.0,0.0426940639483177,37.545274698389925,0.0,0.0,0.0,0.0,-0.2255793960734012,0.01620935689917,0,1,0,0,0,0,0
(n)06,-06FoayTOXJ8-,1,36.0,8,188,8,1,2.070528053350629,2.670329301334017,0.0,1,1,2.500399042298484,0.0,0.7693633194108191,0.0,2.027008777852802,0.0,0.0462217573128905,37.20114654245845,0.0,0.0,0.0,0.0,2.519456866258732,0.0228403661141503,0,1,0,0,0,0,0
(n)07,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.0352994571084448,0.135989055899666,0.0,1,1,0.0470869912210694,0.0,0.1222033572841069,0.0,-0.0492910195813639,0.0,0.0519180611519141,36.565612268565374,0.0,0.0,0.0,0.0,0.0950471971246627,0.1540375940875501,0,1,0,0,0,0,0
(n)08,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.3099724960491772,-0.2939560658044708,0.0,0,0,-0.3695131683958499,0.0,-0.2564542289043541,0.0,-0.4017555705604321,1.0,0.0560471325888812,36.06298273304399,0.0,0.0,0.0,0.0,-0.3162484495961614,-0.0117276417086165,0,1,0,0,0,0,0
(n)09,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.2978383583554643,0.4629119895941671,0.0,1,1,0.3631284916201117,0.0,0.6919106744652992,0.0,0.2180958811613774,0.0,0.0604383907266296,35.50390736838101,0.0,0.0,0.0,0.0,0.4077893882880221,-0.0139766307813943,0,0,0,0,0,0,0
(n)10,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.3993239934183536,0.5892855722709399,0.0,1,1,0.4860335195530727,0.0,0.8502583146766582,0.0,0.3220796758946658,0.0,0.0636725215254279,35.081682513749435,0.0,0.0,0.0,0.0,0.5286813388919838,0.1001560108407534,0,1,0,0,0,0,0
(n)11,-06FoayTOXJ8-,1,36.0,8,188,0,0,-0.3099724960491772,-0.2939560658044708,0.0,0,0,-0.3695131683958499,0.0,-0.2564542289043541,0.0,-0.4017555705604321,0.0,0.0709736947214118,34.112306958240616,0.0,0.0,0.0,0.0,-0.3162484495961614,-0.0139766307813943,0,0,0,0,0,0,0
(n)12,-06FoayTOXJ8-,1,36.0,8,188,8,1,1.3821906672285524,1.81318669666187,0.0,1,1,1.6711891460494814,0.0,2.3838213489305984,0.0,1.324780553679946,0.0,0.0735657318921943,33.766376354095335,0.0,0.0,0.0,0.0,1.699494028854569,-0.0139766307813943,0,0,0,0,0,0,0
(n)13,-06FoayTOXJ8-,1,36.0,8,188,8,1,1.6689975397391084,2.1703289857456296,0.0,1,1,2.016759776536313,0.0,2.8313249924788053,0.0,1.6171505739365293,0.0,0.081821633911053,32.67062423903819,0.0,0.0,0.0,0.0,2.0411447683206685,0.1568030277485085,0,1,0,0,0,0,0
(n)14,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.3353440315331868,0.5096154101052158,0.0,1,1,0.4086193136472466,0.0,0.7504306299107232,0.0,0.2565833896016205,0.0,0.0836816744160232,32.426317791161814,0.0,0.0,0.0,0.0,0.452466982179609,0.977188889792696,0,1,0,0,0,0,0
(n)15,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.6563475065541232,0.9093405452433192,0.0,1,1,0.7956903431763767,0.0,1.2512910988599737,0.0,0.5840648210668467,1.0,0.0909168509671938,31.48937356237156,0.0,0.0,0.0,0.0,0.8348534767990994,0.1155265683995545,0,1,0,0,0,0,0
(n)16,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.1213415796863894,-0.0590660275286488,0.0,1,1,-0.1420590582601755,0.0,-0.2237519799485426,0.0,-0.2093180283592167,0.0,0.0993408363022521,30.430842946629625,0.0,0.0,0.0,0.0,-0.091547097437515,0.0204605490556088,0,1,0,0,0,0,0
(n)17,-06FoayTOXJ8-,1,36.0,8,188,8,1,23.22617531464911,-0.2939560658044708,0.0,0,0,-0.3695131683958499,0.0,-0.2564542289043541,0.0,-0.4017555705604321,0.0,0.1029741647183094,29.98638558546198,0.0,0.0,232170.0,232170.0,-0.3162484495961614,0.0105462755837612,1,1,1,0,0,0,0
(n)18,-06FoayTOXJ8-,1,36.0,8,188,8,1,-0.3099724960491772,-0.2939560658044708,0.0,0,0,-0.3695131683958499,0.0,-0.2564542289043541,0.0,-0.4017555705604321,0.0,0.1098291042375932,29.16885314197606,0.0,0.0,0.0,0.0,-0.3162484495961614,-0.0139292139943904,0,1,0,0,0,0,0
(n)19,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.1456098550738154,0.2733515524613305,0.0,1,1,-0.0638467677573822,2.961165048543689,0.1394149507112629,2.999998493454058,0.062795408507765,0.0,0.1212761575601982,27.86631195190904,0.0,0.0,0.0,0.0,0.2264514020022203,0.0518829775148523,0,1,0,0,0,0,0
(n)20,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.0717017688149539,0.1813185308072965,0.0,1,1,0.0909816440542697,0.0,0.3390706365920114,0.0,-0.012153950033761,0.0,0.1261927354823915,27.33089452885307,0.0,0.0,0.0,0.0,0.1384104422377886,0.0391989800264655,0,1,0,0,0,0,0
(n)21,-06FoayTOXJ8-,1,36.0,8,188,0,0,-0.3099724960491772,-0.2939560658044708,0.0,0,0,,0.0,-0.2564542289043541,0.0,,0.0,0.1331609215676901,26.596297324794502,0.0,0.0,0.0,0.0,-0.3162484495961614,-0.0139766307813943,0,0,0,0,0,0,0
(n)22,-06FoayTOXJ8-,1,36.0,8,188,8,1,0.0022063174439076,0.0947802816840957,0.0,1,1,0.0071827613727054,0.0,0.2306371551124983,0.0,-0.0830519918973666,0.0,0.1429604778513864,25.609828947299064,0.0,0.0,0.0,0.0,0.0556259115094517,-0.0139766307813943,0,0,0,0,0,0,0
